Dog Name,Adaptability,Adapts Well To Apartment Living,Good For Novice Dog Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All-around friendliness,Best Family Dogs,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Exercise needs,High Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Officially Recognized,Temperament,Height,Weight,Life Expectancy,FeaturedImageURL,AdditionalImageURLs
Affenpug,3,4,4,2,3,1,1,4,5,3,4,4,3,3,3,2,4,4,1,3,3,3,3,4,4,2,3,2,2,2,4,No,"Friendly, Playful, Affectionate",10-15 inches,10-20 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenpug/Affenpug-featured.jpg,
Affenshire,3,4,4,3,2,3,2,4,5,3,4,3,2,3,1,2,4,3,1,3,3,3,2,4,5,3,3,4,2,2,4,No,"Affectionate, Playful, Alert",10-12 inches,8-15 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenshire/Affenshire-featured.jpg,
Affenwich,3,3,3,2,3,3,2,4,5,4,5,3,2,1,1,2,3,1,1,4,3,4,3,5,5,3,4,4,3,4,4,No,"Affectionate, Energetic, Alert",10-15 inches,10-15 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Affenwich/Affenwich-featured.jpg,
Afghan Chon,2,3,2,3,1,3,1,4,5,3,4,4,3,3,2,2,4,1,3,3,3,3,2,2,4,3,3,3,2,3,4,No,"Affectionate, Playful, Intelligent",10-15 inches,20-50 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Chon/Afghan Chon-featured.jpg,
Afghan Collie,2,1,2,3,2,4,1,4,4,3,5,4,3,3,1,2,4,2,3,4,4,5,3,2,2,5,5,5,4,5,5,No,"Loyal, Independent, Affectionate",24-28 inches (male),50-65 pounds (male),12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Collie/Afghan Collie-featured.jpg,
Afghan Hound,4,5,3,5,2,5,5,4,5,5,4,2,2,4,1,1,3,1,4,3,1,4,3,5,2,5,4,5,2,4,4,Yes,independent / sweet,25-27 inches,50-60 pounds,12-18 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Hound/Afghan Hound-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Hound/Afghan Hound-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Hound/Afghan Hound-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Hound/Afghan Hound-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Hound/Afghan Hound-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Hound/Afghan Hound-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Hound/Afghan Hound-6.jpg
Afghan Retriever,3,2,3,3,2,4,2,5,5,4,5,4,3,3,1,2,3,2,4,3,5,4,3,3,2,3,4,4,2,4,4,No,"Gentle, Loyal, Playful",24-28 inches (male),60-85 pounds (male),12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Retriever/Afghan Retriever-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Retriever/Afghan Retriever-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Retriever/Afghan Retriever-2.jpg
Afghan Sheepdog,2,1,1,4,2,4,2,3,4,3,3,2,2,3,1,3,3,1,3,3,4,4,2,3,3,3,5,5,5,5,4,No,"Independent, Loyal, Protective","24-30 inches (male), 22-26 inches (female)","75-90 pounds (male), 50-65 pounds (female)",12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Sheepdog/Afghan Sheepdog-featured.jpg,
Afghan Spaniel,3,4,4,2,3,4,1,5,5,4,5,4,3,3,2,2,3,3,2,3,3,3,1,3,4,2,3,3,2,3,4,No,"Loyal, Independent, Affectionate",24-28 inches (male),50-65 pounds (male),12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afghan Spaniel/Afghan Spaniel-featured.jpg,
Afollie,3,2,2,3,2,4,2,4,5,4,4,3,3,3,1,2,4,2,3,3,4,4,1,2,2,3,4,4,3,4,4,No,"Affectionate, Energetic, Intelligent",15-20 inches,30-50 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Afollie/Afollie-featured.jpg,
Airedale Shepherd,3,1,2,4,3,3,3,4,5,5,4,3,3,3,2,3,4,1,3,3,4,4,1,1,3,3,4,4,4,4,4,No,"Loyal, Intelligent, Energetic",21-26 inches,50-65 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedale Shepherd/Airedale Shepherd-featured.jpg,
Airedale Terrier,2,1,2,3,2,3,3,4,4,4,4,3,3,2,1,2,3,4,3,5,4,5,5,5,4,4,5,5,3,5,5,Yes,friendly / courageous / clever,23 inches,50-70 pounds,11-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedale Terrier/Airedale Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedale Terrier/Airedale Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedale Terrier/Airedale Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedale Terrier/Airedale Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedale Terrier/Airedale Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedale Terrier/Airedale Terrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedale Terrier/Airedale Terrier-6.jpg
Airedoodle,2,1,2,4,1,3,3,4,5,4,4,4,3,2,1,3,4,3,4,3,4,5,1,2,2,3,4,4,4,4,5,No,"Friendly, Intelligent, Social",24-28 inches,50-70 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Airedoodle/Airedoodle-featured.jpg,
Akbash,3,1,2,3,4,4,2,4,5,4,3,2,4,4,2,3,4,4,4,3,3,4,3,1,3,1,2,2,2,2,3,No,"Loyal, Independent, Alert",28-34 inches (male),90-140 pounds (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akbash/Akbash-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akbash/Akbash-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akbash/Akbash-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akbash/Akbash-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akbash/Akbash-4.jpg
Akbash Pyrenees,2,1,2,2,4,4,1,4,4,4,3,3,3,4,2,2,3,3,5,3,4,4,1,1,3,4,4,4,4,4,3,No,"Loyal, Protective, Intelligent",24-30 inches (male),80-120 pounds (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akbash Pyrenees/Akbash Pyrenees-featured.jpg,
Akbash Rottie,2,1,2,3,3,3,2,4,5,4,3,3,3,4,3,2,3,1,5,3,4,4,3,1,4,4,5,5,5,5,4,No,"Loyal, Protective, Intelligent",24-28 inches (male),85-130 pounds (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akbash Rottie/Akbash Rottie-featured.jpg,
Aki Poo,3,2,2,4,3,3,1,3,4,2,2,2,2,4,3,1,3,1,4,4,4,5,3,4,3,3,4,4,5,4,4,No,"Friendly, Intelligent, Loyal",18-24 inches,45-75 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Aki Poo/Aki Poo-featured.jpg,
Akita,3,2,2,5,1,5,2,2,5,1,1,2,4,5,5,1,4,4,4,4,2,3,3,4,5,4,4,4,3,4,5,Yes,dignified / courageous / profoundly loyal,26-28 inches (male),100-130 pounds (male),10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita/Akita-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita/Akita-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita/Akita-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita/Akita-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita/Akita-4.jpg
Akita Basset,3,2,2,3,3,3,3,3,5,2,2,3,3,3,3,4,3,3,3,4,4,5,4,4,5,3,3,3,4,3,3,No,"Loyal, Affectionate, Intelligent",14-24 inches,40-65 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita Basset/Akita Basset-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita Basset/Akita Basset-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita Basset/Akita Basset-2.jpg
Akita Bernard,2,1,2,4,2,3,2,3,5,3,2,2,3,4,3,2,3,1,5,4,4,4,3,4,3,4,4,4,5,4,4,No,"Loyal, Gentle, Protective",24-28 inches (male),80-130 pounds (male),8-10 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita Bernard/Akita Bernard-featured.jpg,
Akita Chow,3,2,1,4,2,5,2,1,1,1,1,2,3,4,3,1,2,4,4,3,2,4,3,4,2,3,4,4,4,4,2,No,"Loyal, Courageous, Confident",22-28 inches,70-130 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita Chow/Akita Chow-featured.jpg,
Akita Pit,3,3,1,2,4,3,3,3,4,3,3,2,4,3,3,4,4,4,4,3,3,4,3,4,3,1,3,3,4,3,3,No,"Loyal, Protective, Affectionate",22-28 inches,50-100 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita Pit/Akita Pit-featured.jpg,
Akita Shepherd,3,3,3,2,3,4,3,3,4,3,3,3,3,4,2,3,3,3,4,3,4,4,2,3,1,2,3,3,3,4,3,No,"Loyal, Courageous, Intelligent",24-28 inches (male),70-130 pounds (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akita Shepherd/Akita Shepherd-featured.jpg,
Akitamatian,2,1,1,4,2,3,3,3,4,3,2,2,3,3,1,4,4,1,5,4,4,5,4,4,4,3,4,4,5,4,4,No,"Loyal, Protective, Energetic",24-28 inches (male),70-130 pounds (male),10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Akitamatian/Akitamatian-featured.jpg,
Alaskan Goldenmute,3,1,2,3,2,5,2,4,5,3,5,4,2,4,1,2,3,1,3,4,4,4,3,5,4,4,5,5,4,5,5,No,"Friendly, Loyal, Intelligent",24-28 inches (male),75-100 pounds (male),10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Goldenmute/Alaskan Goldenmute-featured.jpg,
Alaskan Husky,3,3,2,4,1,5,3,5,5,5,5,5,3,4,3,2,4,2,3,4,2,3,4,3,5,5,5,5,3,5,5,No,"Friendly, Intelligent, Energetic",21-24 inches,35-60 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Husky/Alaskan Husky-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Husky/Alaskan Husky-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Husky/Alaskan Husky-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Husky/Alaskan Husky-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Husky/Alaskan Husky-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Husky/Alaskan Husky-5.jpg
Alaskan Husky Shepherd,2,2,2,4,2,4,2,4,5,3,3,3,3,4,1,3,4,3,3,4,4,4,2,4,5,5,5,5,5,5,4,No,"Loyal, Intelligent, Energetic, Friendly",20-26 inches,50-85 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Husky Shepherd/Alaskan Husky Shepherd-featured.jpg,
Alaskan Irish Setsky,2,1,1,4,2,4,2,4,5,3,4,4,3,4,1,2,3,2,4,4,4,4,2,5,5,4,5,5,4,5,5,No,"Friendly, Intelligent, Active",22-25 inches (male),50-80 pounds (male),12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Irish Setsky/Alaskan Irish Setsky-featured.jpg,
Alaskan Klee Kai,3,3,2,4,2,5,2,3,4,3,2,2,3,4,2,4,4,2,2,4,4,4,2,5,3,4,4,4,2,4,4,Yes,loyal / intelligent / vigilant,12 - 17 inches,6 - 25 lbs,13-16 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Klee Kai/Alaskan Klee Kai-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Klee Kai/Alaskan Klee Kai-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Klee Kai/Alaskan Klee Kai-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Klee Kai/Alaskan Klee Kai-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Klee Kai/Alaskan Klee Kai-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Klee Kai/Alaskan Klee Kai-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Klee Kai/Alaskan Klee Kai-6.jpg
Alaskan Malador,2,1,1,3,2,4,2,4,5,3,4,3,3,3,1,2,3,4,4,4,4,4,3,5,5,3,5,5,4,5,5,No,"Friendly, Loyal, Intelligent, Energetic",21-26 inches,50-80 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Malador/Alaskan Malador-featured.jpg,
Alaskan Malamute,2,1,1,4,1,5,2,4,4,3,2,5,3,5,1,1,4,3,4,4,4,4,3,4,5,5,5,5,5,5,5,Yes,loyal / playful / affectionate,25 inches (male),85 pounds (male),10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Malamute/Alaskan Malamute-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Malamute/Alaskan Malamute-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Malamute/Alaskan Malamute-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Malamute/Alaskan Malamute-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Malamute/Alaskan Malamute-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Malamute/Alaskan Malamute-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Malamute/Alaskan Malamute-6.jpg
Alaskan Pit Bull Terrier,3,2,2,4,2,4,3,4,5,4,3,4,3,3,2,2,4,1,4,4,4,4,1,4,5,4,5,5,4,5,5,No,"Loyal, Intelligent, Energetic",18-24 inches,30-80 pounds,12-16 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Pit Bull Terrier/Alaskan Pit Bull Terrier-featured.jpg,
Alaskan Shepherd,3,2,2,4,3,4,2,3,4,3,3,2,2,3,1,2,3,1,4,4,4,5,2,5,5,5,5,5,5,5,5,No,"Loyal, Intelligent, Active",20-30 inches,50-90 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Shepherd/Alaskan Shepherd-featured.jpg,
Alaskan Weimsky,3,1,1,4,2,4,3,4,5,3,4,4,3,3,1,3,4,1,3,4,4,4,2,5,5,4,5,5,5,5,5,No,"Affectionate, Intelligent, Active",22-27 inches,55-90 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alaskan Weimsky/Alaskan Weimsky-featured.jpg,
Alopekis,3,4,3,2,3,3,3,5,5,5,4,4,3,3,1,4,5,3,2,3,4,4,1,3,2,2,4,4,3,3,4,No,"Lively, Intelligent, Loyal",10-12 inches,15-30 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alopekis/Alopekis-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alopekis/Alopekis-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alopekis/Alopekis-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alopekis/Alopekis-3.jpg
Alusky,2,1,2,4,1,5,2,4,5,3,4,4,3,5,1,2,4,1,4,4,4,4,3,5,5,5,5,5,5,5,5,No,"Friendly, Energetic, Loyal",20-25 inches,45-85 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Alusky/Alusky-featured.jpg,
American Akita,3,2,2,5,1,5,2,2,5,1,1,2,4,5,5,1,4,4,4,4,2,3,3,4,5,4,4,4,3,4,5,No,"Loyal, Brave, Confident",24-28 inches (male),100-130 pounds (male),10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Akita/American Akita-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Akita/American Akita-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Akita/American Akita-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Akita/American Akita-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Akita/American Akita-4.jpg
American Bandogge,2,1,1,4,2,2,3,4,5,2,3,4,4,2,4,5,3,2,5,3,4,4,2,4,3,3,5,5,4,5,5,No,"Loyal, Protective, Intelligent",24-30 inches (male),90-150 pounds (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bandogge/American Bandogge-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bandogge/American Bandogge-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bandogge/American Bandogge-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bandogge/American Bandogge-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bandogge/American Bandogge-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bandogge/American Bandogge-5.jpg
American Boston Bull Terrier,3,3,3,3,2,2,3,4,5,4,4,4,3,2,2,5,4,1,2,3,3,4,1,4,4,2,4,4,3,4,5,No,"Affectionate, Intelligent, Energetic",15-17 inches (male),12-25 pounds,11-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Boston Bull Terrier/American Boston Bull Terrier-featured.jpg,
American Boxer Foxhound,3,2,4,3,2,3,4,5,5,5,4,4,3,2,1,5,4,3,3,3,4,4,3,5,3,4,4,4,3,4,5,No,"Friendly, Energetic, Loyal",21-25 inches,50-70 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Boxer Foxhound/American Boxer Foxhound-featured.jpg,
American Bull Dane,3,2,3,4,2,2,4,4,5,3,3,3,4,4,5,4,3,2,5,3,4,4,3,3,3,2,3,3,3,3,4,No,"Affectionate, Loyal, Gentle",28-34 inches (male),90-150 pounds (male),8-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bull Dane/American Bull Dane-featured.jpg,
American Bull Dogue De Bordeaux,3,2,2,4,2,2,3,3,5,4,1,2,4,2,5,4,3,3,5,3,4,3,2,3,3,3,3,3,3,4,3,No,"Loyal, Confident, Protective",24-27 inches (male),80-120 pounds (male),8-10 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bull Dogue De Bordeaux/American Bull Dogue De Bordeaux-featured.jpg,
American Bull Pei,3,2,2,4,2,3,3,3,5,2,2,1,3,3,3,4,3,2,3,3,3,3,2,4,2,2,4,3,4,4,3,No,"Loyal, Intelligent, Protective",18-25 inches,40-75 pounds,10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bull Pei/American Bull Pei-featured.jpg,
American Bull Staffy,3,1,2,4,2,3,4,4,5,3,3,4,3,3,2,5,4,1,4,3,4,4,2,3,3,3,5,5,5,5,5,No,"Loyal, Intelligent, Energetic",17-20 inches,70-100 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bull Staffy/American Bull Staffy-featured.jpg,
American Bull Aussie,3,1,2,4,2,3,4,4,5,4,3,3,3,3,3,4,4,2,3,3,4,5,1,3,2,3,5,5,5,4,5,No,"Loyal, Intelligent, Energetic",18-24 inches,50-70 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/American Bull Aussie/American Bull Aussie-featured.jpg,
